,age,marital,ever_defaulted,housing_loan,Personal_loan,y
15095,48,1,0,0,0,0
13212,44,1,0,1,0,0
24386,40,1,0,0,0,0
14145,48,1,0,1,0,0
5005,30,1,0,1,0,0
3510,49,1,0,1,0,0
23851,34,0,0,1,0,0
17226,32,1,0,0,0,0
26989,34,1,0,0,0,0
15940,33,0,0,0,0,0
6529,39,1,0,0,0,0
24307,29,0,0,0,0,0
25796,34,1,0,0,0,0
23473,32,1,0,0,0,0
5306,33,1,0,1,0,0
18811,34,1,0,1,0,0
29245,61,1,0,0,0,0
8295,40,0,0,1,0,0
19188,31,1,0,1,1,0
23823,37,1,0,0,0,0
23842,33,0,0,1,0,0
13884,29,1,0,1,0,0
28615,34,1,0,1,0,0
3455,45,1,0,1,0,0
29933,53,1,0,1,0,0
15461,52,1,0,1,0,0
30714,59,0,0,0,0,0
19981,39,1,0,1,0,0
24169,34,1,0,1,0,0
27911,21,0,0,0,0,0
30878,68,1,0,1,0,1
25764,37,0,0,1,0,1
27183,24,0,0,0,0,0
27231,23,0,0,0,0,1
9904,32,0,0,1,0,0
12451,58,1,0,0,0,0
28766,31,1,0,1,0,0
25346,32,0,0,0,0,0
19321,33,0,0,0,0,0
18784,31,0,0,0,0,0
12094,50,1,0,0,0,0
6741,39,1,0,1,0,0
17654,50,1,0,0,0,0
1330,51,0,0,1,0,0
29946,29,0,0,1,0,1
25695,46,1,0,0,0,0
12481,35,1,0,0,0,0
19761,56,0,0,1,0,0
13488,33,1,0,0,0,0
4589,36,1,0,0,0,0
19102,37,0,0,1,0,1
13602,34,1,0,1,0,0
13361,29,1,0,0,1,0
31030,59,1,0,0,0,1
16185,44,1,0,0,0,0
1616,47,1,0,0,0,0
30337,47,0,0,1,1,1
5157,41,1,0,1,0,0
7827,33,0,0,0,0,0
7759,40,0,0,1,0,0
24399,32,1,0,0,0,0
17227,36,0,0,1,0,0
6939,36,0,0,0,0,0
3931,30,0,0,0,0,0
5780,27,0,0,1,0,0
4844,50,0,0,0,0,0
10835,29,1,0,1,0,0
21682,34,0,0,0,0,0
18505,29,1,0,1,0,0
8279,51,1,0,0,0,0
16255,41,0,0,1,0,0
19449,49,1,0,0,0,0
26713,48,1,0,1,0,1
19845,57,1,0,1,0,0
18226,35,1,0,1,0,0
17220,38,1,0,1,0,0
28662,71,1,0,1,0,0
821,25,0,0,1,0,0
20861,27,0,0,1,0,0
3798,35,1,0,0,0,0
21333,75,0,0,0,0,0
9538,31,1,0,1,0,0
19189,31,0,0,0,0,0
3547,28,0,0,1,1,0
11204,29,0,0,1,1,0
16196,36,1,0,0,0,0
20455,46,0,0,0,0,0
28114,27,0,0,1,0,0
24761,38,1,0,1,1,0
7481,38,1,0,0,0,0
5006,33,0,0,1,0,0
2564,32,0,0,0,0,0
22722,57,1,0,1,0,0
14416,32,0,0,1,0,0
13529,35,1,0,0,0,0
21114,38,0,0,1,0,0
19829,41,0,0,0,0,0
1337,55,1,0,1,1,0
24525,26,1,0,1,0,0
7552,36,0,0,1,0,0
5068,41,0,0,0,0,0
31104,40,0,0,0,0,0
6188,42,1,0,0,1,0
13377,36,1,0,0,0,0
5799,54,1,0,1,0,0
28622,52,1,0,0,0,0
15258,47,0,0,1,0,0
20938,27,0,0,0,0,0
21459,47,1,0,1,0,0
24210,35,0,0,1,0,0
13679,54,1,0,1,0,0
14108,35,1,0,0,0,0
17927,30,0,0,0,1,0
12890,33,1,0,1,0,0
30602,34,0,0,0,0,1
9040,27,0,0,0,0,0
10059,28,1,0,1,1,0
21094,34,1,0,1,0,0
2764,31,1,0,0,0,0
15230,34,0,0,1,0,0
31319,60,1,0,0,0,1
29786,26,0,0,1,0,1
12140,57,1,0,1,1,0
31289,32,1,0,0,0,0
11869,31,0,0,1,0,0
11968,53,0,0,0,0,0
30397,23,1,0,0,0,0
25420,26,0,0,0,0,1
22426,39,1,0,1,0,1
4282,35,1,0,0,0,0
928,46,0,0,0,0,0
23837,41,1,0,0,0,0
8874,34,0,0,1,0,0
8537,43,1,0,0,0,0
26011,38,0,0,1,0,0
26001,31,0,0,1,0,0
19234,33,0,0,1,0,0
22249,58,0,0,0,0,0
624,34,1,0,1,0,0
27757,56,1,0,1,0,1
1456,56,1,0,1,1,0
11863,38,1,0,1,0,0
3268,35,0,0,1,0,0
457,43,1,0,1,0,0
12636,32,0,0,1,0,0
22735,34,1,0,1,0,0
6912,30,0,0,1,0,0
1043,29,0,0,0,0,0
3789,33,0,0,1,0,0
14754,30,0,0,1,0,0
11358,30,1,0,1,1,0
6334,39,1,0,1,0,0
26019,59,0,0,0,0,0
16238,51,1,0,1,0,1
16069,50,1,0,1,1,0
13959,52,1,0,1,0,0
24696,35,0,0,0,0,0
25089,48,1,0,1,0,0
17714,32,0,0,0,0,0
30879,68,1,0,0,0,1
17838,53,0,0,0,0,0
22624,41,0,0,0,0,0
26777,54,0,0,1,0,0
12389,57,0,0,0,0,0
11615,47,0,0,1,0,0
15875,53,0,0,1,0,0
20507,36,1,0,1,0,0
14810,48,1,0,1,0,0
3031,46,1,0,0,0,0
27019,34,1,0,1,0,0
31618,30,0,0,1,0,0
24722,30,0,0,0,0,0
14529,47,1,0,1,0,0
3835,36,1,0,0,0,0
23098,44,1,0,1,0,0
3949,39,1,0,1,0,0
22079,54,1,0,1,0,0
26830,31,0,0,0,0,0
22159,39,1,0,0,0,1
15918,30,1,0,0,0,0
23552,34,0,0,1,1,0
19653,31,0,0,0,0,0
10454,29,0,0,1,0,0
